clee,id,nombre,razon_social,clase_actividad,estrato,tipo_vialidad,calle,num_exterior,num_interior,colonia,cp,ubicacion,telefono,correo_e,sitio_internet,tipo,longitud,latitud,tipo_corredor_industrial,nom_corredor_industrial,numero_local,ageb,manzana,clase_actividad_id,edificio_piso,sector_actividad_id,subsector_actividad_id,rama_actividad_id,subrama_actividad_id,edificio,tipo_asentamiento,fecha_alta,areageo,ubicacion caps,municipio,estado
19047461212000251000000000U2,2924231,ABARROTES APOLONIO,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,M. MALDONADO V.,0,,MORELOS,65600,"HIDALGO, Hidalgo, NUEVO LEÓN   ",,,,Fijo,-100.4658385,25.97528267,,,,177,4,461212,,46,461,4612,46121,,COLONIA,2010-07,190470001,HIDALGO, Hidalgo, NUEVO LEÓN   
19026461212004911000000000U1,2932020,ABARROTES ARANZAZU,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,SIERRA DE GOMAS,203,,CERRO DE LA SILLA UC,67170,"GUADALUPE, Guadalupe, NUEVO LEÓN   ",,,,Fijo,-100.1923795,25.66715684,,,,2648,1,461212,,46,461,4612,46121,,FRACCIONAMIENTO,2010-07,190260001,GUADALUPE, Guadalupe, NUEVO LEÓN   
19006461212005131000000000U7,8369379,ABARROTES ARIES,,Comercio al por menor de cerveza,0 a 5 personas,AVENIDA,METROPLEX,,,METROPLEX,66612,"CIUDAD APODACA, Apodaca, NUEVO LEÓN   ",8131142798,,,Fijo,-100.2540319,25.79649406,,,,087A,1,461212,,46,461,4612,46121,,COLONIA,2019-11,190060001,CIUDAD APODACA, Apodaca, NUEVO LEÓN   
19026461213000741000000000U4,2925931,ABARROTES ARTEAGA,,Comercio al por menor de bebidas no alcohólicas y hielo,0 a 5 personas,CALLE,FRESNO,1727,,JARDINES DE SAN RAFAEL,67110,"GUADALUPE, Guadalupe, NUEVO LEÓN   ",,,,Fijo,-100.2211109,25.6985919,,,,213,9,461213,,46,461,4612,46121,,FRACCIONAMIENTO,2010-07,190260001,GUADALUPE, Guadalupe, NUEVO LEÓN   
19005461213000151000000000U0,8804918,ABARROTES BANY,,Comercio al por menor de bebidas no alcohólicas y hielo,0 a 5 personas,CALLE,CONSTRUCTIVA,,100,ANAHUAC,65040,"ANÁHUAC, Anáhuac, NUEVO LEÓN   ",,,,Fijo,-100.1469319,27.22392204,,,,1141,15,461213,,46,461,4612,46121,,COLONIA,2019-11,190050001,ANÁHUAC, Anáhuac, NUEVO LEÓN   
19021461212001431000000000U4,2950622,ABARROTES CANDELA,,Comercio al por menor de cerveza,0 a 5 personas,AVENIDA,PARQUE INDUSTRIAL,0,0,PASO CUCHARAS,66050,"CIUDAD GENERAL ESCOBEDO, General Escobedo, NUEVO LEÓN   ",,,,Fijo,-100.344828,25.81247595,,,,560,5,461212,,46,461,4612,46121,,COLONIA,2014-12,190210001,CIUDAD GENERAL ESCOBEDO, General Escobedo, NUEVO LEÓN   
19026461212004331000000000U2,2982761,ABARROTES CASTILLO,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,MONTREAL 76,4100,,FOMERREY 26,67170,"GUADALUPE, Guadalupe, NUEVO LEÓN   ",,,,Fijo,-100.2348533,25.65504063,,,,1194,33,461212,,46,461,4612,46121,,COLONIA,2014-12,190260001,GUADALUPE, Guadalupe, NUEVO LEÓN   
19026461212004901000000000U2,2985621,ABARROTES CASTRO,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,SIERRA DE GOMAS,405,,CERRO DE LA SILLA UC,67170,"GUADALUPE, Guadalupe, NUEVO LEÓN   ",8117765297,,,Fijo,-100.1925867,25.6667436,,,,2648,3,461212,,46,461,4612,46121,,FRACCIONAMIENTO,2014-12,190260001,GUADALUPE, Guadalupe, NUEVO LEÓN   
19004461212000281000000000U0,8245721,ABARROTES CAVAZOS,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,SOBRE LAS OLAS,,,POPULAR,67350,"CIUDAD DE ALLENDE, Allende, NUEVO LEÓN   ",8267696510,,,Fijo,-100.0309226,25.30271741,,,,339,1,461212,,46,461,4612,46121,,COLONIA,2019-11,190040001,CIUDAD DE ALLENDE, Allende, NUEVO LEÓN   
19026461212003061000000000U6,2931915,ABARROTES CHAIREZ,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,QUINTIN,20,,TACUBAYA,67190,"GUADALUPE, Guadalupe, NUEVO LEÓN   ",,,,Fijo,-100.2038247,25.66545347,,,,1476,32,461212,,46,461,4612,46121,,CONDOMINIO,2010-07,190260001,GUADALUPE, Guadalupe, NUEVO LEÓN   
19006461110016231000000000U8,3053457,ABARROTES CLAUDIDA,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,CRUZ TREBOLADA,524,,HACIENDA LOS PINOS,66609,"CIUDAD APODACA, Apodaca, NUEVO LEÓN   ",8116235563,,,Fijo,-100.2515566,25.77070576,,,,757,30,461212,,46,461,4612,46121,,FRACCIONAMIENTO,2010-07,190060001,CIUDAD APODACA, Apodaca, NUEVO LEÓN   
19039461110006721000000000U1,3048938,ABARROTES CORONADO,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,J. DA SILVA,4400,,RENE ALVAREZ,64215,"MONTERREY, Monterrey, NUEVO LEÓN   ",8110870241,,,Fijo,-100.356723,25.7626697,,,,4002,19,461212,,46,461,4612,46121,,COLONIA,2010-07,190390001,MONTERREY, Monterrey, NUEVO LEÓN   
19006461212003071000000000U7,2948574,ABARROTES COW BOY JR,,Comercio al por menor de cerveza,0 a 5 personas,AVENIDA,LOS PINOS,0,0,PINOS 3ER SECTOR,66636,"CIUDAD APODACA, Apodaca, NUEVO LEÓN   ",8114662709,,,Fijo,-100.25398,25.77620947,,,,1312,12,461212,,46,461,4612,46121,,COLONIA,2014-12,190060001,CIUDAD APODACA, Apodaca, NUEVO LEÓN   
19018461212003001000000000U9,7300118,ABARROTES DANNY,,Comercio al por menor de cerveza,0 a 5 personas,AVENIDA,LAS VILLAS,444,,PRIVADAS LAS VILLAS,66003,"GARCÍA, García, NUEVO LEÓN   ",,,,Fijo,-100.5783485,25.78779593,,,,438,37,461212,,46,461,4612,46121,,COLONIA,2019-11,190180001,GARCÍA, García, NUEVO LEÓN   
19021461213000371000000000U1,8269439,ABARROTES DEL CORRITO,,Comercio al por menor de bebidas no alcohólicas y hielo,0 a 5 personas,AVENIDA,BENITO JUAREZ,127,,LAZARO CARDENAS,66058,"CIUDAD GENERAL ESCOBEDO, General Escobedo, NUEVO LEÓN   ",,,,Fijo,-100.2945966,25.782021,,,,221,51,461213,,46,461,4612,46121,,COLONIA,2019-11,190210001,CIUDAD GENERAL ESCOBEDO, General Escobedo, NUEVO LEÓN   
19044461212000671000000000U8,7318934,ABARROTES EDI,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,RIO AMAZONAS,230,,JOSEFA ZOZAYA,65288,"CIUDAD SABINAS HIDALGO, Sabinas Hidalgo, NUEVO LEÓN   ",,,,Fijo,-100.1741758,26.47982519,,,,654,7,461212,,46,461,4612,46121,,COLONIA,2019-11,190440001,CIUDAD SABINAS HIDALGO, Sabinas Hidalgo, NUEVO LEÓN   
19039461212004591000000000U4,6446640,ABARROTES EDU,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,ZEMPOALA,7218,,UNIDAD MODELO,64140,"MONTERREY, Monterrey, NUEVO LEÓN   ",8180240617,,,Fijo,-100.3564507,25.73701914,,,,279,20,461212,,46,461,4612,46121,,COLONIA,2010-07,190390001,MONTERREY, Monterrey, NUEVO LEÓN   
19039461213002461000000000U0,3040831,ABARROTES EL BADO,,Comercio al por menor de bebidas no alcohólicas y hielo,0 a 5 personas,CALLE,CAMINO A VALLE ALTO,8075,8075,FRACC LAS ESTANCIAS,64989,"MONTERREY, Monterrey, NUEVO LEÓN   ",8183177484,,,Fijo,-100.2569694,25.58028779,,,,3004,1,461213,,46,461,4612,46121,,COLONIA,2010-07,190390001,MONTERREY, Monterrey, NUEVO LEÓN   
19006461212003511000000000U2,3047353,ABARROTES EL CHINO,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,UMBRIEL,205,,COSMOPOLIS,66612,"CIUDAD APODACA, Apodaca, NUEVO LEÓN   ",8186839269,,,Fijo,-100.2450989,25.81275489,,,,105A,28,461212,,46,461,4612,46121,,FRACCIONAMIENTO,2010-07,190060001,CIUDAD APODACA, Apodaca, NUEVO LEÓN   
19006461212003611000000000U0,2948403,ABARROTES EL CHINO,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,GRAN BRETAÑA,0,0,NUEVO AMANECER,66636,"CIUDAD APODACA, Apodaca, NUEVO LEÓN   ",,,,Fijo,-100.2481018,25.77818472,,,,1331,4,461212,,46,461,4612,46121,,COLONIA,2014-12,190060001,CIUDAD APODACA, Apodaca, NUEVO LEÓN   
19046461212001581000000000U3,3028060,ABARROTES EL CHINO,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,ESMERALDA,300,,VALLE DEL MEZQUITAL F 30,66440,"SAN NICOLÁS DE LOS GARZA, San Nicolás de los Garza, NUEVO LEÓN   ",,,,Fijo,-100.2426977,25.74083005,,,,1002,21,461212,,46,461,4612,46121,,COLONIA,2010-07,190460001,SAN NICOLÁS DE LOS GARZA, San Nicolás de los Garza, NUEVO LEÓN   
19026461212002631000000000U7,2916445,ABARROTES EL CONE,,Comercio al por menor de cerveza,0 a 5 personas,AVENIDA,MIGUEL HIDALGO Y COSTILLA,2305,0,15 DE MAYO,67170,"GUADALUPE, Guadalupe, NUEVO LEÓN   ",,,,Fijo,-100.2309909,25.66400524,,,,1993,2,461212,,46,461,4612,46121,,COLONIA,2010-07,190260001,GUADALUPE, Guadalupe, NUEVO LEÓN   
19044461213000171000000000U7,3012815,ABARROTES EL CUBREVIENTO,,Comercio al por menor de bebidas no alcohólicas y hielo,0 a 5 personas,CALLE,CUAUHTEMOC,0,,SABINAS HIDALGO CENTRO,65200,"CIUDAD SABINAS HIDALGO, Sabinas Hidalgo, NUEVO LEÓN   ",,,,Fijo,-100.1897685,26.50596128,,,,531,12,461213,,46,461,4612,46121,,BARRIO,2010-07,190440001,CIUDAD SABINAS HIDALGO, Sabinas Hidalgo, NUEVO LEÓN   
19031461212000111000000000U2,3019108,ABARROTES EL DAVID,,Comercio al por menor de cerveza,0 a 5 personas,AVENIDA,LAS TORRES,120,0,MONTE CRISTAL,67280,"ARBOLEDAS DE SAN ROQUE, Juárez, NUEVO LEÓN   ",,,,Fijo,-100.1422904,25.610751,,,,463,5,461212,,46,461,4612,46121,,COLONIA,2010-07,190310313,ARBOLEDAS DE SAN ROQUE, Juárez, NUEVO LEÓN   
19021461212002111000000000U1,3055147,ABARROTES EL GRANDE,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,CISNE,251,0,VILLAS DE SAN FRANCISCO,66062,"CIUDAD GENERAL ESCOBEDO, General Escobedo, NUEVO LEÓN   ",,,,Fijo,-100.3687018,25.8348187,,,,1658,9,461212,,46,461,4612,46121,,COLONIA,2014-12,190210001,CIUDAD GENERAL ESCOBEDO, General Escobedo, NUEVO LEÓN   
19010461212000191000000000U8,2941230,ABARROTES EL GUERO,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,DIEGO VILLARREAL,702,0,CENTRO,66550,"CARMEN, El Carmen, NUEVO LEÓN   ",,,,Fijo,-100.3692363,25.94326931,,,,73,45,461212,,46,461,4612,46121,,COLONIA,2014-12,190100001,CARMEN, El Carmen, NUEVO LEÓN   
19031461212003431000000000U1,7662346,ABARROTES EL IMPERIO,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,UXMAL,659,,ZIRANDARO,67250,"CIUDAD BENITO JUÁREZ, Juárez, NUEVO LEÓN   ",,,,Fijo,-100.129844,25.64757496,,,,637,17,461212,,46,461,4612,46121,,RESIDENCIAL,2019-11,190310001,CIUDAD BENITO JUÁREZ, Juárez, NUEVO LEÓN   
19048461212002981000000000U0,2957233,ABARROTES EL MIRADOR,,Comercio al por menor de cerveza,0 a 5 personas,PRIVADA,LOMA ROCOSA,0,201,LOMAS DEL MIRADOR,66119,"CIUDAD SANTA CATARINA, Santa Catarina, NUEVO LEÓN   ",,,,Fijo,-100.421288,25.69337503,,,,1346,7,461212,,46,461,4612,46121,,COLONIA,2014-12,190480001,CIUDAD SANTA CATARINA, Santa Catarina, NUEVO LEÓN   
19026461212001761000000000U3,2917981,ABARROTES EL PRIMO,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,NECOCHEA,173,0,INFONAVIT SAN SEBASTIAN,67198,"GUADALUPE, Guadalupe, NUEVO LEÓN   ",,,,Fijo,-100.2028224,25.67167595,,,,1461,34,461212,,46,461,4612,46121,,COLONIA,2010-07,190260001,GUADALUPE, Guadalupe, NUEVO LEÓN   
19026461212003901000000000U3,2928812,ABARROTES EL TIGRE,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,MONTE ALBAN,138,,HACIENDA LOS LERMAS,67168,"GUADALUPE, Guadalupe, NUEVO LEÓN   ",,,,Fijo,-100.1913068,25.68867335,,,,1067,19,461212,,46,461,4612,46121,,COLONIA,2010-07,190260001,GUADALUPE, Guadalupe, NUEVO LEÓN   
19026461212002371000000000U0,3010829,ABARROTES EL VAQUERO,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,SAN PABLO,102,,31 DE DICIEMBRE,67190,"GUADALUPE, Guadalupe, NUEVO LEÓN   ",,MARIBEL_GARZA14@HOTMAIL.COM,,Fijo,-100.1420018,25.67069044,,,,1974,20,461212,,46,461,4612,46121,,COLONIA,2010-07,190260001,GUADALUPE, Guadalupe, NUEVO LEÓN   
19021461110014951000000000U2,3055042,ABARROTES ESPINOZA,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,MEXICALI,192,,ALIANZA REAL,66050,"CIUDAD GENERAL ESCOBEDO, General Escobedo, NUEVO LEÓN   ",8121002198,,,Fijo,-100.3922923,25.85074902,,,,1681,5,461212,,46,461,4612,46121,,COLONIA,2010-07,190210001,CIUDAD GENERAL ESCOBEDO, General Escobedo, NUEVO LEÓN   
19039461213000591000000000U6,2934927,ABARROTES EVA,,Comercio al por menor de bebidas no alcohólicas y hielo,0 a 5 personas,CALLE,DERECHO DE POSESION,7012,,TIERRA Y LIBERTAD SECT NORTE,64249,"MONTERREY, Monterrey, NUEVO LEÓN   ",8183737792,,,Fijo,-100.340232,25.74179169,,,,406A,25,461213,,46,461,4612,46121,,COLONIA,2010-07,190390001,MONTERREY, Monterrey, NUEVO LEÓN   
19026461212006071000000000U2,7679845,ABARROTES FLORES,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,VALLE GRANDE,,,VALLE SOLEADO,67114,"GUADALUPE, Guadalupe, NUEVO LEÓN   ",,,,Fijo,-100.1682982,25.70018624,,,,1264,9,461212,,46,461,4612,46121,,COLONIA,2019-11,190260001,GUADALUPE, Guadalupe, NUEVO LEÓN   
19039461213002891000000000U8,2958444,ABARROTES GALILEO,,Comercio al por menor de bebidas no alcohólicas y hielo,0 a 5 personas,CALLE,23 DE NOVIEMBRE,256,,ARBOLEDAS DE SAN BERNABE,66068,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.406922,25.78445012,,,,4981,40,461213,,46,461,4612,46121,,COLONIA,2014-12,190390001,MONTERREY, Monterrey, NUEVO LEÓN   
19026461212000321000000000U7,2929912,ABARROTES GIGANTES,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,CENTRAL,625,0,CENTRO,67100,"GUADALUPE, Guadalupe, NUEVO LEÓN   ",8116874687,,,Fijo,-100.2516938,25.6782932,,,,317,10,461212,,46,461,4612,46121,,COLONIA,2010-07,190260001,GUADALUPE, Guadalupe, NUEVO LEÓN   
19048461212000931000000000U7,3018832,ABARROTES GONZALEZ,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,ROBLES,114,,CIMA DE LAS MITRAS,66114,"CIUDAD SANTA CATARINA, Santa Catarina, NUEVO LEÓN   ",8182553302,,,Fijo,-100.4233144,25.69357917,,,,969,3,461212,,46,461,4612,46121,,COLONIA,2010-07,190480001,CIUDAD SANTA CATARINA, Santa Catarina, NUEVO LEÓN   
19021461212001781000000000U2,2927295,ABARROTES GUERRERO,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,ZANAHORIA,819,,FERNANDO AMILPA,66052,"CIUDAD GENERAL ESCOBEDO, General Escobedo, NUEVO LEÓN   ",,,,Fijo,-100.2647815,25.80676131,,,,1107,13,461212,,46,461,4612,46121,,COLONIA,2010-07,190210001,CIUDAD GENERAL ESCOBEDO, General Escobedo, NUEVO LEÓN   
19046461212001591000000000U2,3026367,ABARROTES GUTIERREZ,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,SUECOS,,,CARMEN ROMANO DE LOPEZ PORTILLO (FOMERREY 27),66444,"SAN NICOLÁS DE LOS GARZA, San Nicolás de los Garza, NUEVO LEÓN   ",8111865633,,,Fijo,-100.2753544,25.72737871,,,,1125,17,461212,,46,461,4612,46121,,COLONIA,2010-07,190460001,SAN NICOLÁS DE LOS GARZA, San Nicolás de los Garza, NUEVO LEÓN   
19046461110002651010000000U9,3026432,ABARROTES HERNANDEZ,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,LUCERO,234,0,PASEO DEL NOGALAR FOME 11,66480,"SAN NICOLÁS DE LOS GARZA, San Nicolás de los Garza, NUEVO LEÓN   ",,,,Fijo,-100.2717646,25.72662522,,,,120A,10,461212,,46,461,4612,46121,,COLONIA,2010-07,190460001,SAN NICOLÁS DE LOS GARZA, San Nicolás de los Garza, NUEVO LEÓN   
19038461212000901000000000U1,2999981,ABARROTES HIDALGO,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,MIGUEL HIDALGO,403,,PARAS,67528,"MONTEMORELOS, Montemorelos, NUEVO LEÓN   ",,,,Fijo,-99.8265286,25.19379814,,,,322,5,461212,,46,461,4612,46121,,BARRIO,2014-12,190380001,MONTEMORELOS, Montemorelos, NUEVO LEÓN   
19046461110006511010000000U1,3033323,ABARROTES HUERTA,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,MECANICOS,,,BLAS CHUMACERO CTM,66473,"SAN NICOLÁS DE LOS GARZA, San Nicolás de los Garza, NUEVO LEÓN   ",,,,Fijo,-100.2253709,25.71216859,,,,1375,46,461212,,46,461,4612,46121,,COLONIA,2010-07,190460001,SAN NICOLÁS DE LOS GARZA, San Nicolás de los Garza, NUEVO LEÓN   
19039461212004631000000000U8,3051717,ABARROTES JESUS ANGEL,,Comercio al por menor de cerveza,0 a 5 personas,AVENIDA,JULIO A. ROCA,9900,0,FOMERREY 113,64105,"MONTERREY, Monterrey, NUEVO LEÓN   ",8111800511,,,Fijo,-100.3746789,25.77541287,,,,3771,1,461212,,46,461,4612,46121,,COLONIA,2010-07,190390001,MONTERREY, Monterrey, NUEVO LEÓN   
19031461110007621000000000U9,3017724,ABARROTES JUANITO,,Comercio al por menor de cerveza,0 a 5 personas,AVENIDA,PRINCIPAL,4,,RANCHO VIEJO,67280,"JARDINES DE LA SILLA (JARDINES), Juárez, NUEVO LEÓN   ",,,,Fijo,-100.1716602,25.62591768,,,,887,8,461212,,46,461,4612,46121,,COLONIA,2010-07,190310045,JARDINES DE LA SILLA (JARDINES), Juárez, NUEVO LEÓN   
19006461213000331000000000U6,8713221,ABARROTES LA BOMBA,,Comercio al por menor de bebidas no alcohólicas y hielo,0 a 5 personas,AVENIDA,METROPLEX,300,,METROPLEX,66612,"CIUDAD APODACA, Apodaca, NUEVO LEÓN   ",,,,Fijo,-100.2526137,25.78726563,,,,901,12,461213,,46,461,4612,46121,,COLONIA,2019-11,190060001,CIUDAD APODACA, Apodaca, NUEVO LEÓN   
19026461160002281010000000U2,2984576,ABARROTES LA CAMPANITA,,Comercio al por menor de bebidas no alcohólicas y hielo,0 a 5 personas,CALLE,SAN RAFAEL,105,,EVOLUCION,67190,"GUADALUPE, Guadalupe, NUEVO LEÓN   ",,,,Fijo,-100.1462819,25.67196204,,,,196A,4,461213,,46,461,4612,46121,,COLONIA,2014-12,190260001,GUADALUPE, Guadalupe, NUEVO LEÓN   
19005461213000181000000000U7,7317783,ABARROTES LA ECONÓMICA,,Comercio al por menor de bebidas no alcohólicas y hielo,0 a 5 personas,CALLE,AJONJOLI,405,0,CENTRO DE ANAHUAC,65030,"ANÁHUAC, Anáhuac, NUEVO LEÓN   ",,,,Fijo,-100.1349598,27.2450971,,,,406,25,461213,,46,461,4612,46121,,COLONIA,2019-11,190050001,ANÁHUAC, Anáhuac, NUEVO LEÓN   
19046461212003081000000000U2,3035806,ABARROTES LA ESCONDIDA,,Comercio al por menor de cerveza,0 a 5 personas,AVENIDA,DERECHOS DEL TRABAJADOR,324,,CONSTITUYENTES DE QUERETARO SECT 4,66490,"SAN NICOLÁS DE LOS GARZA, San Nicolás de los Garza, NUEVO LEÓN   ",,,,Fijo,-100.263567,25.71518702,,,,1252,14,461212,,46,461,4612,46121,,COLONIA,2010-07,190460001,SAN NICOLÁS DE LOS GARZA, San Nicolás de los Garza, NUEVO LEÓN   
19006461212000591000000000U7,3048251,ABARROTES LA ESPERANZA,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,ALFONSO REYES,235,0,MOISES SAENZ,66613,"CIUDAD APODACA, Apodaca, NUEVO LEÓN   ",8120450288,,,Fijo,-100.257845,25.81053612,,,,117,22,461212,,46,461,4612,46121,,COLONIA,2010-07,190060001,CIUDAD APODACA, Apodaca, NUEVO LEÓN   
19031461212000741000000000U6,3015821,ABARROTES LA PALMA,,Comercio al por menor de cerveza,0 a 5 personas,AVENIDA,REAL DE SAN FRANCISCO,149,,REAL DE SAN JOSE,67250,"CIUDAD BENITO JUÁREZ, Juárez, NUEVO LEÓN   ",8182335065,,,Fijo,-100.0848718,25.65293175,,,,726,24,461212,,46,461,4612,46121,,COLONIA,2010-07,190310001,CIUDAD BENITO JUÁREZ, Juárez, NUEVO LEÓN   
19018461212002661000000000U1,8731140,ABARROTES LA PATRONA,,Comercio al por menor de cerveza,0 a 5 personas,CALLE,PORTAL DE CIENEGA,569,,PORTAL DE LINCOLN,66003,"GARCÍA, García, NUEVO LEÓN   ",8129042962,,,Fijo,-100.5433098,25.80469095,,,,1370,17,461212,,46,461,4612,46121,,FRACCIONAMIENTO,2019-11,190180001,GARCÍA, García, NUEVO LEÓN   
19039461212001201000000000U3,3049974,ABARROTES LA PROVIDENCIA,,Comercio al por menor de cerveza,0 a 5 personas,AVENIDA,AZTLAN,6604,,SAN BERNABE (F-51),64109,"MONTERREY, Monterrey, NUEVO LEÓN   ",8183816466,,,Fijo,-100.3879797,25.75831129,,,,4017,14,461212,,46,461,4612,46121,,COLONIA,2010-07,190390001,MONTERREY, Monterrey, NUEVO LEÓN   
